student_id,coursera_id,lms_id,academic_id
STU-0001,CR-1001,LMS-2001,AC-3001
STU-0002,CR-1002,LMS-2002,AC-3002
STU-0003,CR-1003,LMS-2003,AC-3003
STU-0004,CR-1004,LMS-2004,AC-3004
STU-0005,CR-1005,LMS-2005,AC-3005
STU-0006,CR-1006,LMS-2006,AC-3006
STU-0007,CR-1007,LMS-2007,AC-3007
STU-0008,CR-1008,LMS-2008,AC-3008
STU-0009,CR-1009,LMS-2009,AC-3009
STU-0010,CR-1010,LMS-2010,AC-3010
STU-0011,CR-1011,LMS-2011,AC-3011
STU-0012,CR-1012,LMS-2012,AC-3012
STU-0013,CR-1013,LMS-2013,AC-3013
STU-0014,CR-1014,LMS-2014,AC-3014
STU-0015,CR-1015,LMS-2015,AC-3015
STU-0016,CR-1016,LMS-2016,AC-3016
STU-0017,CR-1017,LMS-2017,AC-3017
STU-0018,CR-1018,LMS-2018,AC-3018
STU-0019,CR-1019,LMS-2019,AC-3019
STU-0020,CR-1020,LMS-2020,AC-3020
STU-0021,CR-1021,LMS-2021,AC-3021
STU-0022,CR-1022,LMS-2022,AC-3022
STU-0023,CR-1023,LMS-2023,AC-3023
STU-0024,CR-1024,LMS-2024,AC-3024
STU-0025,CR-1025,LMS-2025,AC-3025
STU-0026,CR-1026,LMS-2026,AC-3026
STU-0027,CR-1027,LMS-2027,AC-3027
STU-0028,CR-1028,LMS-2028,AC-3028
STU-0029,CR-1029,LMS-2029,AC-3029
STU-0030,CR-1030,LMS-2030,AC-3030
STU-0031,CR-1031,LMS-2031,AC-3031
STU-0032,CR-1032,LMS-2032,AC-3032
STU-0033,CR-1033,LMS-2033,AC-3033
STU-0034,CR-1034,LMS-2034,AC-3034
STU-0035,CR-1035,LMS-2035,AC-3035
STU-0036,CR-1036,LMS-2036,AC-3036
STU-0037,CR-1037,LMS-2037,AC-3037
STU-0038,CR-1038,LMS-2038,AC-3038
STU-0039,CR-1039,LMS-2039,AC-3039
STU-0040,CR-1040,LMS-2040,AC-3040
STU-0041,CR-1041,LMS-2041,AC-3041
STU-0042,CR-1042,LMS-2042,AC-3042
STU-0043,CR-1043,LMS-2043,AC-3043
STU-0044,CR-1044,LMS-2044,AC-3044
STU-0045,CR-1045,LMS-2045,AC-3045
STU-0046,CR-1046,LMS-2046,AC-3046
STU-0047,CR-1047,LMS-2047,AC-3047
STU-0048,CR-1048,LMS-2048,AC-3048
STU-0049,CR-1049,LMS-2049,AC-3049
STU-0050,CR-1050,LMS-2050,AC-3050
STU-0051,CR-1051,LMS-2051,AC-3051
STU-0052,CR-1052,LMS-2052,AC-3052
STU-0053,CR-1053,LMS-2053,AC-3053
STU-0054,CR-1054,LMS-2054,AC-3054
STU-0055,CR-1055,LMS-2055,AC-3055
STU-0056,CR-1056,LMS-2056,AC-3056
STU-0057,CR-1057,LMS-2057,AC-3057
STU-0058,CR-1058,LMS-2058,AC-3058
STU-0059,CR-1059,LMS-2059,AC-3059
STU-0060,CR-1060,LMS-2060,AC-3060
STU-0061,CR-1061,LMS-2061,AC-3061
STU-0062,CR-1062,LMS-2062,AC-3062
STU-0063,CR-1063,LMS-2063,AC-3063
STU-0064,CR-1064,LMS-2064,AC-3064
STU-0065,CR-1065,LMS-2065,AC-3065
STU-0066,CR-1066,LMS-2066,AC-3066
STU-0067,CR-1067,LMS-2067,AC-3067
STU-0068,CR-1068,LMS-2068,AC-3068
STU-0069,CR-1069,LMS-2069,AC-3069
STU-0070,CR-1070,LMS-2070,AC-3070
STU-0071,CR-1071,LMS-2071,AC-3071
STU-0072,CR-1072,LMS-2072,AC-3072
STU-0073,CR-1073,LMS-2073,AC-3073
STU-0074,CR-1074,LMS-2074,AC-3074
STU-0075,CR-1075,LMS-2075,AC-3075
STU-0076,CR-1076,LMS-2076,AC-3076
STU-0077,CR-1077,LMS-2077,AC-3077
STU-0078,CR-1078,LMS-2078,AC-3078
STU-0079,CR-1079,LMS-2079,AC-3079
STU-0080,CR-1080,LMS-2080,AC-3080
STU-0081,CR-1081,LMS-2081,AC-3081
STU-0082,CR-1082,LMS-2082,AC-3082
STU-0083,CR-1083,LMS-2083,AC-3083
STU-0084,CR-1084,LMS-2084,AC-3084
STU-0085,CR-1085,LMS-2085,AC-3085
STU-0086,CR-1086,LMS-2086,AC-3086
STU-0087,CR-1087,LMS-2087,AC-3087
STU-0088,CR-1088,LMS-2088,AC-3088
STU-0089,CR-1089,LMS-2089,AC-3089
STU-0090,CR-1090,LMS-2090,AC-3090
STU-0091,CR-1091,LMS-2091,AC-3091
STU-0092,CR-1092,LMS-2092,AC-3092
STU-0093,CR-1093,LMS-2093,AC-3093
STU-0094,CR-1094,LMS-2094,AC-3094
STU-0095,CR-1095,LMS-2095,AC-3095
STU-0096,CR-1096,LMS-2096,AC-3096
STU-0097,CR-1097,LMS-2097,AC-3097
STU-0098,CR-1098,LMS-2098,AC-3098
STU-0099,CR-1099,LMS-2099,AC-3099
STU-0100,CR-1100,LMS-2100,AC-3100
STU-0101,CR-1101,LMS-2101,AC-3101
STU-0102,CR-1102,LMS-2102,AC-3102
STU-0103,CR-1103,LMS-2103,AC-3103
STU-0104,CR-1104,LMS-2104,AC-3104
STU-0105,CR-1105,LMS-2105,AC-3105
STU-0106,CR-1106,LMS-2106,AC-3106
STU-0107,CR-1107,LMS-2107,AC-3107
STU-0108,CR-1108,LMS-2108,AC-3108
STU-0109,CR-1109,LMS-2109,AC-3109
STU-0110,CR-1110,LMS-2110,AC-3110
STU-0111,CR-1111,LMS-2111,AC-3111
STU-0112,CR-1112,LMS-2112,AC-3112
STU-0113,CR-1113,LMS-2113,AC-3113
STU-0114,CR-1114,LMS-2114,AC-3114
STU-0115,CR-1115,LMS-2115,AC-3115
STU-0116,CR-1116,LMS-2116,AC-3116
STU-0117,CR-1117,LMS-2117,AC-3117
STU-0118,CR-1118,LMS-2118,AC-3118
STU-0119,CR-1119,LMS-2119,AC-3119
STU-0120,CR-1120,LMS-2120,AC-3120
STU-0121,CR-1121,LMS-2121,AC-3121
STU-0122,CR-1122,LMS-2122,AC-3122
STU-0123,CR-1123,LMS-2123,AC-3123
STU-0124,CR-1124,LMS-2124,AC-3124
STU-0125,CR-1125,LMS-2125,AC-3125
STU-0126,CR-1126,LMS-2126,AC-3126
STU-0127,CR-1127,LMS-2127,AC-3127
STU-0128,CR-1128,LMS-2128,AC-3128
STU-0129,CR-1129,LMS-2129,AC-3129
STU-0130,CR-1130,LMS-2130,AC-3130
STU-0131,CR-1131,LMS-2131,AC-3131
STU-0132,CR-1132,LMS-2132,AC-3132
STU-0133,CR-1133,LMS-2133,AC-3133
STU-0134,CR-1134,LMS-2134,AC-3134
STU-0135,CR-1135,LMS-2135,AC-3135
STU-0136,CR-1136,LMS-2136,AC-3136
STU-0137,CR-1137,LMS-2137,AC-3137
STU-0138,CR-1138,LMS-2138,AC-3138
STU-0139,CR-1139,LMS-2139,AC-3139
STU-0140,CR-1140,LMS-2140,AC-3140
STU-0141,CR-1141,LMS-2141,AC-3141
STU-0142,CR-1142,LMS-2142,AC-3142
STU-0143,CR-1143,LMS-2143,AC-3143
STU-0144,CR-1144,LMS-2144,AC-3144
STU-0145,CR-1145,LMS-2145,AC-3145
STU-0146,CR-1146,LMS-2146,AC-3146
STU-0147,CR-1147,LMS-2147,AC-3147
STU-0148,CR-1148,LMS-2148,AC-3148
STU-0149,CR-1149,LMS-2149,AC-3149
STU-0150,CR-1150,LMS-2150,AC-3150
STU-0151,CR-1151,LMS-2151,AC-3151
STU-0152,CR-1152,LMS-2152,AC-3152
STU-0153,CR-1153,LMS-2153,AC-3153
STU-0154,CR-1154,LMS-2154,AC-3154
STU-0155,CR-1155,LMS-2155,AC-3155
STU-0156,CR-1156,LMS-2156,AC-3156
STU-0157,CR-1157,LMS-2157,AC-3157
STU-0158,CR-1158,LMS-2158,AC-3158
STU-0159,CR-1159,LMS-2159,AC-3159
STU-0160,CR-1160,LMS-2160,AC-3160
STU-0161,CR-1161,LMS-2161,AC-3161
STU-0162,CR-1162,LMS-2162,AC-3162
STU-0163,CR-1163,LMS-2163,AC-3163
STU-0164,CR-1164,LMS-2164,AC-3164
STU-0165,CR-1165,LMS-2165,AC-3165
STU-0166,CR-1166,LMS-2166,AC-3166
STU-0167,CR-1167,LMS-2167,AC-3167
STU-0168,CR-1168,LMS-2168,AC-3168
STU-0169,CR-1169,LMS-2169,AC-3169
STU-0170,CR-1170,LMS-2170,AC-3170
STU-0171,CR-1171,LMS-2171,AC-3171
STU-0172,CR-1172,LMS-2172,AC-3172
STU-0173,CR-1173,LMS-2173,AC-3173
STU-0174,CR-1174,LMS-2174,AC-3174
STU-0175,CR-1175,LMS-2175,AC-3175
STU-0176,CR-1176,LMS-2176,AC-3176
STU-0177,CR-1177,LMS-2177,AC-3177
STU-0178,CR-1178,LMS-2178,AC-3178
STU-0179,CR-1179,LMS-2179,AC-3179
STU-0180,CR-1180,LMS-2180,AC-3180
STU-0181,CR-1181,LMS-2181,AC-3181
STU-0182,CR-1182,LMS-2182,AC-3182
STU-0183,CR-1183,LMS-2183,AC-3183
STU-0184,CR-1184,LMS-2184,AC-3184
STU-0185,CR-1185,LMS-2185,AC-3185
STU-0186,CR-1186,LMS-2186,AC-3186
STU-0187,CR-1187,LMS-2187,AC-3187
STU-0188,CR-1188,LMS-2188,AC-3188
STU-0189,CR-1189,LMS-2189,AC-3189
STU-0190,CR-1190,LMS-2190,AC-3190
STU-0191,CR-1191,LMS-2191,AC-3191
STU-0192,CR-1192,LMS-2192,AC-3192
STU-0193,CR-1193,LMS-2193,AC-3193
STU-0194,CR-1194,LMS-2194,AC-3194
STU-0195,CR-1195,LMS-2195,AC-3195
STU-0196,CR-1196,LMS-2196,AC-3196
STU-0197,CR-1197,LMS-2197,AC-3197
STU-0198,CR-1198,LMS-2198,AC-3198
STU-0199,CR-1199,LMS-2199,AC-3199
STU-0200,CR-1200,LMS-2200,AC-3200
